0.0	11.900000345139278	23.800000690278555	35.70000103541783	59.523809523809526	71.42857142857143	83.33333333333334	95.23809523809524
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1800.0	0.0	0.0	11.0	35.0	35.0	35.0	30.0	30.0
2000.0	0.0	0.0	11.0	11.0	30.0	25.0	20.0	20.0
2200.0	0.0	0.0	4.0	4.0	35.0	25.0	75.0	75.0
2400.0	0.0	0.0	6.0	6.0	35.0	40.0	75.0	75.0
2600.0	0.0	0.0	6.0	6.0	35.0	40.0	75.0	75.0
3200.0	0.0	0.0	6.0	6.0	35.0	40.0	75.0	75.0
3600.0	0.0	0.0	4.0	6.0	35.0	40.0	75.0	75.0
4800.0	0.0	0.0	4.0	6.0	35.0	90.0	90.0	90.0
5200.0	0.0	0.0	4.0	6.0	40.0	90.0	90.0	90.0
5600.0	0.0	0.0	4.0	6.0	35.0	90.0	90.0	90.0
6800.0	0.0	0.0	4.0	6.0	11.0	90.0	90.0	90.0
